Caz favorabil,,,,,,,,,
,,,,,,,,,
n,a_bubble,c_bubble,total_bubble,a_select,c_select,total_select,a_insert,c_insert,total_insert
100,0,9900,9900,396,4950,5346,198,99,297
600,0,359400,359400,2396,179700,182096,1198,599,1797
1100,0,1208900,1208900,4396,604450,608846,2198,1099,3297
1600,0,2558400,2558400,6396,1279200,1285596,3198,1599,4797
2100,0,4407900,4407900,8396,2203950,2212346,4198,2099,6297
2600,0,6757400,6757400,10396,3378700,3389096,5198,2599,7797
3100,0,9606900,9606900,12396,4803450,4815846,6198,3099,9297
3600,0,12956400,12956400,14396,6478200,6492596,7198,3599,10797
4100,0,16805900,16805900,16396,8402950,8419346,8198,4099,12297
4600,0,21155400,21155400,18396,10577700,10596096,9198,4599,13797
5100,0,26004900,26004900,20396,13002450,13022846,10198,5099,15297
5600,0,31354400,31354400,22396,15677200,15699596,11198,5599,16797
6100,0,37203900,37203900,24396,18601950,18626346,12198,6099,18297
6600,0,43553400,43553400,26396,21776700,21803096,13198,6599,19797
7100,0,50402900,50402900,28396,25201450,25229846,14198,7099,21297
7600,0,57752400,57752400,30396,28876200,28906596,15198,7599,22797
8100,0,65601900,65601900,32396,32800950,32833346,16198,8099,24297
8600,0,73951400,73951400,34396,36975700,37010096,17198,8599,25797
9100,0,82800900,82800900,36396,41400450,41436846,18198,9099,27297
9600,0,92150400,92150400,38396,46075200,46113596,19198,9599,28797
,,,,,,,,,
Caz nefavorabil,,,,,,,,,
,,,,,,,,,
n,a_bubble,c_bubble,total_bubble,a_select,c_select,total_select,a_insert,c_insert,total_insert
100,14850,9900,24750,2896,4950,7846,5148,5049,10197
600,539025,359400,898425,90765,179700,270465,180882,180283,361165
1100,1813188,1208900,3022088,290292,604450,894742,606595,605496,1212091
1600,3837147,2558400,6395547,599116,1279200,1878316,1282262,1280663,2562925
2100,6611118,4407900,11019018,1008772,2203950,3212722,2207895,2205796,4413691
2600,10135143,6757400,16892543,1481368,3378700,4860068,3383556,3380957,6764513
3100,14408940,9606900,24015840,2110526,4803450,6913976,4809177,4806078,9615255
3600,19432440,12956400,32388840,2787915,6478200,9266115,6484712,6481113,12965825
4100,25206297,16805900,42012197,3438594,8402950,11841544,8410282,8406183,16816465
4600,31729992,21155400,52885392,4292741,10577700,14870441,10585810,10581211,21167021
5100,39003465,26004900,65008365,5184154,13002450,18186604,13011376,13006277,26017653
5600,47026848,31354400,78381248,5994799,15677200,21671999,15686786,15681187,31367973
6100,55800129,37203900,93004029,7090047,18601950,25691997,18612250,18606151,37218401
6600,65323596,43553400,108876996,8009705,21776700,29786405,21787726,21781127,43568853
7100,75596745,50402900,125999645,9180664,25201450,34382114,25213094,25205995,50419089
7600,86619951,57752400,144372351,10164570,28876200,39040770,28888429,28880830,57769259
8100,98392629,65601900,163994529,11450624,32800950,44251574,32813786,32805687,65619473
8600,110915667,73951400,184867067,12463875,36975700,49439575,36989022,36980423,73969445
9100,124188606,82800900,206989506,13817489,41400450,55217939,41414378,41405279,82819657
9600,138211536,92150400,230361936,14938442,46075200,61013642,46089707,46080108,92169815
,,,,,,,,,
Caz mediu,,,,,,,,,
,,,,,,,,,
n,a_bubble,c_bubble,total_bubble,a_select,c_select,total_select,a_insert,c_insert,total_insert
100,7573,9900,17473,716,4950,5666,2722,2623,5346
600,267155,359400,626555,5322,179700,185022,90249,89650,179900
1100,901170,1208900,2110070,10485,604450,614935,302588,301489,604077
1600,1921546,2558400,4479946,15872,1279200,1295072,643713,642114,1285827
2100,3305884,4407900,7713784,21335,2203950,2225285,1106159,1104060,2210219
2600,5045087,6757400,11802487,26732,3378700,3405432,1686893,1684294,3371188
3100,7190752,9606900,16797652,32467,4803450,4835917,2403115,2400016,4803132
3600,9725069,12956400,22681469,38756,6478200,6516956,3248887,3245288,6494176
4100,12643054,16805900,29448954,44282,8402950,8447232,4222549,4218450,8441000
4600,15743599,21155400,36898999,50070,10577700,10627770,5257064,5252465,10509530
5100,19501885,26004900,45506785,55698,13002450,13058148,6510826,6505727,13016554
5600,23400594,31354400,54754994,62100,15677200,15739300,7811396,7805797,15617193
6100,27857199,37203900,65061099,67983,18601950,18669933,9297931,9291832,18589763
6600,32544505,43553400,76097905,73402,21776700,21850102,10861366,10854767,21716134
7100,38013078,50402900,88415978,79219,25201450,25280669,12685224,12678125,25363349
7600,43396245,57752400,101148645,85566,28876200,28961766,14480613,14473014,28953627
8100,49113425,65601900,114715325,92600,32800950,32893550,16387339,16379240,32766580
8600,55115545,73951400,129066945,98185,36975700,37073885,18389046,18380447,36769493
9100,62524611,82800900,145325511,104434,41400450,41504884,20859735,20850636,41710371
9600,68933499,92150400,161083899,110023,46075200,46185223,22997031,22987432,45984463
